state,county
Alabama,"Cleburne County, Randolph County"
Alabama,"Cherokee County, Etowah County"
Alabama,Houston County
Alabama,"Jefferson County, Shelby County, St. Clair County"
Alabama,"Coffee County, Dale County"
Alabama,Colbert County
Alabama,"Franklin County, Marion County"
Alabama,"Coosa County, Talladega County"
Alabama,"Jefferson County, Shelby County"
Alabama,"Chilton County, Coosa County"
Alabama,DeKalb County
Alabama,"Clay County, Cleburne County, Randolph County"
Alabama,"Bullock County, Macon County"
Alabama,"Lee County, Macon County"
Alabama,"Blount County, Jefferson County"
Alabama,"Dale County, Henry County, Houston County"
Alabama,"Barbour County, Henry County, Russell County"
Alabama,Dale County
Alabama,"Colbert County, Tishomingo County"
Alabama,Etowah County
Alabama,"Fayette County, Lamar County, Pickens County, Tuscaloosa County"
Alabama,"Fayette County, Walker County"
Alabama,Autauga County
Alabama,"Chambers County, Lee County"
Alabama,"Chattahoochee County, Muscogee County, Russell County"
Alabama,"Cullman County, Marshall County, Morgan County"
Alabama,"Bibb County, Chilton County"
Alabama,"Dale County, Houston County"
Alabama,"Hale County, Tuscaloosa County"
Alabama,"Jefferson County, Tuscaloosa County, Walker County"
Alabama,"Bibb County, Jefferson County, Tuscaloosa County"
Alabama,"Dallas County, Perry County"
Alabama,Hale County
Alabama,Jackson County
Alabama,"Calhoun County, Cleburne County"
Alabama,"Cullman County, Morgan County, Winston County"
Alabama,Morgan County
Alabama,"Blount County, Marshall County"
Alabama,"Hale County, Perry County"
Alabama,Russell County
Alabama,"DeKalb County, Jackson County"
Alabama,"Dallas County, Lowndes County"
Alabama,Cleburne County
Alabama,"Colbert County, Franklin County"
Alabama,"Barbour County, Bullock County"
Alabama,Tuscaloosa County
Alabama,"Coffee County, Dale County, Pike County"
Alabama,"Coffee County, Geneva County"
Alabama,"Lowndes County, Montgomery County"
Alabama,Shelby County
Alabama,"Butler County, Conecuh County, Covington County"
Alabama,"Bibb County, Shelby County"
Alabama,"Marengo County, Wilcox County"
Alabama,Coffee County
Alabama,"Cullman County, Winston County"
Alabama,St. Clair County
Alabama,"Clay County, Tallapoosa County"
Alabama,"Blount County, St. Clair County"
Alabama,"Chambers County, Randolph County"
Alabama,"Greene County, Pickens County, Sumter County"
Alabama,"Crenshaw County, Pike County"
Alabama,"Cherokee County, DeKalb County"
